sensor,mean,std
sensor_1,518.67,0.0
sensor_2,642.6809335466046,0.5000532700606232
sensor_3,1590.5231186079202,6.131149519690819
sensor_4,1408.9337816877514,9.000604780543714
sensor_5,14.620000000000005,5.329199674912836e-15
sensor_6,21.609803208763513,0.0013889849127073114
sensor_7,553.367711211284,0.8850922576634073
sensor_8,2388.0966516407348,0.07098547889092417
sensor_9,9065.242940720276,22.082879525066232
sensor_10,1.3,0.0
sensor_11,47.54116814502448,0.2670873986396848
sensor_12,521.4134700208424,0.7375533922097114
sensor_13,2388.0961523920314,0.07191891569857814
sensor_14,8143.752722117203,19.076175975953106
sensor_15,8.442145581891328,0.03750503795196652
sensor_16,0.030000000000000002,3.469531038354711e-18
sensor_17,393.2106538703892,1.548763024614299
sensor_18,2388.0,0.0
sensor_19,100.0,0.0
sensor_20,38.81627066065629,0.18074642787366083
sensor_21,23.289705360864716,0.10825087474491234
